Version francaise,Traduction latin,Traduction Anglais
Orme de Samarie,Ptelea trifoliata,Hop Tree
Orme de Sibérie,Ulmus pumila,Siberian Elm
Ostryer de Virginie,Ostrya virginiana,Ironwood
Penstemon hirsute,Penstemon hirsutus,Hairy Beard-tongue
Peuplier à grandes dents,Populus grandidentata,Largetooth Aspen
Peuplier baumier,Populus balsamifera,Balsam Poplar
Peuplier deltoïde,Populus deltoides,Eastern Cottonwood
Peuplier faux-tremble,Populus tremuloides,Trembling Aspen
Peuplier hybride,Populus hybride,Hybride Poplar
Phellodendron de l'amour,Phellodendron amurense,Amur Corktree
Physocarpe à feuille d'obier,Physocarpus opulifolius,Ninebark
Physocarpe Dart's Gold,Physocarpus opulifolius ''Dart's Gold'',Dart's Gold Ninebark
Physocarpe Diabolo,Physocarpus opulifolius ''Diabolo'',Diabolo Ninebark
Physostégie de Virginie,Physostegia virginiana,False Dragonhead
Pin blanc,Pinus strobus,White Pine
Pin gris,Pinus banksiana,Jack Pine
Pin noir d'Autriche,Pinus nigra,Austrian Pine
Pin rouge,Pinus resinosa,Red Pine
Pin sylvestre,Pinus sylvestris,Scots Pine
Platane occidental,Platanus occidentalis,Sycamore
Poirier de Mandchourie,Pyrus usuriensis,Ussurian Pear
Pois de Sibérie,Caragana arborescens,Siberian Peashrub
Pommetier Antonovka,Malus pumila ''Antonovka'',Antonovka Apple
Pommetier de Sibérie,Malus baccata,Siberian Crab Apple
Potentille frutescente,Dasiphora fructicosa,Shrubby Cinquefoil
Pruche du Canada,Tsuga canadensis,Eastern Hemlock
Prunier noir,Prunus nigra,Black Plum
Ronce odorante,Rubus odoratus,Purple Flowering Raspberry
Rosier des marais,Rosa pallustris,Swamp Rose
Rosier inerme,Rosa blanda,Smooth Rose
Rosier rugueux,Rosa rugosa,Rugosa Rose
Rudbeckie hérissée,Rudbeckia hirta,Black Eyed Susan
Sapin baumier,Abies balsamea,Balsam Fir
Saule à osier,Salix viminalis,Basket Willow
Saule brillant,Salix lucida,Shining Willow
Saule de Bebb,Salix bebbiana,Bebb's Willow
Saule de l'intérieur,Salix interior,Sandbar Willow
Saule Discolore,Salix discolor,Pussy Willow
Saule maculé 'Hakuro Nishiki',Salix integra ''Hakuro Nishiki'',Dappled Willow
Saule Miyabeana,Salix miyabeana,Miyabeana Willow
Saule noir,Salix nigra,Black Willow
Saule Pleureur,Salix alba tristis,Golden Weeping Willow
Saule Satiné,Salix pellita,Satiny Willow
Shépherdie Argentée,Shepherdia argentea,Silver Buffaloberry
Shépherdie du Canada,Shepherdia canadensis,Canada Buffaloberry
Sorbier d'Amérique,Sorbus americana,American Mountain Ash
Sorbier des montagnes,Sorbus decora,Showy Mountain Ash
Sorbier des oiseaux,Sorbus aucuparia,European Mountain Ash
Spirée à larges feuilles,Spiraea latifolia,Broad-leaved Meadowsweet
Spirée blanche,Spiraea alba,Meadowsweet
Spirée tomenteuse,Spiraea tomentosa,Steeplebush
Sumac aromatique,Rhus aromatica,Fragrant Sumac
Sureau du Canada,Sambucus canadensis,Black Elderberry
Sureau rouge,Sambucus pubens,Red Elderberry
Symphorine blanche,Symphoricarpus albus,Snowberry
Thé du Labrador,Ledum groenlandicum,Labrador Tea
Tilleul à petites feuilles,Tilia cordata,Little-leaf Linden
Tilleul d'Amérique,Tilia americana,American Linden
Verge d'or à feuilles étroites,Euthamia graminifolia,Grass-leaved Goldenrod
Verge d'or à tiges zigzagantes,Solidago flexicaulis,Zig-zag Goldenrod
Verge d'or du Canada,Solidago canadensis,Canada Goldenrod
Verveine hastée,Verbena hastata,Blue Vervain
Verveine simple,Verbena simplex,Narrow-leaved Vervain
Vigne sauvage,Vitis riparia,Riverbank Grape
Vigne vierge,Partenocissus quinquefolia,Virginia creeper
Vinaigrier,Rhus typhina,Staghorn Sumac
Viorne cassinoïde,Viburnum cassinoides,Witherod Viburnum
Viorne commune,Viburnum lantana,Wayfaringtree
Viorne de Rafinesque,Viburnum raffinesquianum,Downy Arrowwood Viburnum
Viorne dentée,Viburnum dentatum,Arrowwood
Viorne lentage,Viburnum lentago,Nannyberry
Viorne trilobée,Viburnum trilobum,American Cranberry
